"","imdb_score","director_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","gross","budget"
"65",6.9,80,1317,5,291709845,1.8e+08
"66",7.3,0,49684,6,154985087,1.78e+08
"67",9,22000,57802,0,533316061,1.85e+08
"68",8.3,0,2635,1,292979556,1.75e+08
"69",6.5,11,2579,2,198332128,1.75e+08
"70",7.9,4000,39252,3,318298180,1.4e+08
"71",7.5,17000,36017,0,73820094,1.7e+08
"72",4.8,188,15870,2,113745408,1.7e+08
"73",5.2,357,9131,2,102176165,1.45e+08
"74",6.9,452,11287,8,161087183,1.75e+08
"75",5.4,293,108016,0,100289690,1.75e+08
"76",7.9,218,12652,1,100189501,1.78e+08
"77",6.1,58,1004,0,88246220,1.75e+08
"78",5.8,208,26683,4,150167630,1.75e+08
"79",8.3,0,2944,1,356454367,1.75e+08
"81",7,4000,48638,4,312057433,2e+08
"82",6.1,274,72881,0,155111815,1.7e+08
"83",7,171,15516,2,241407328,1.8e+08
"84",7.6,198,14363,0,208543795,1.7e+08
"86",6.3,47,20965,2,38297305,1.75e+08
"87",7.8,94,36188,1,259746958,1.7e+08
"88",6.4,31,4628,2,238371987,1.65e+08
"89",6.5,663,5046,2,93417865,1.9e+08
"90",7.9,38,2963,0,222487711,1.65e+08
"91",7.8,66,4451,1,189412677,1.65e+08
"92",6.6,0,16264,0,665426,1.65e+08
"93",5.5,776,3233,0,102315545,1.65e+08
"94",8.2,255,20453,0,217387997,1.65e+08
"95",6.4,84,1769,0,150350192,2e+08
"96",8.1,571,32438,3,333130696,1.7e+08
"97",8.6,22000,31488,1,187991439,1.65e+08
"98",8.8,22000,81115,0,292568851,1.6e+08
"101",6.7,357,45327,2,144512310,3.8e+07
"102",7.8,21000,13333,2,127490802,1.5e+08
"103",7.8,905,50983,3,146405371,1.6e+08
"104",6.6,508,81385,1,281666058,1.6e+08
"105",6.1,226,13388,0,63143812,1.5e+08
"106",5.6,249,92456,0,60655503,1.6e+08
"107",6.4,33,80806,1,76846624,1.7e+08
"108",6.1,50,4705,2,320706665,1.6e+08
"109",7.3,0,5505,0,46978995,1.6e+08
"110",6.6,230,38873,2,89732035,1.55e+08
"111",6.3,150,764,4,104383624,1.55e+08
"112",6.1,0,5401,0,198539855,1.4e+08
"113",7.1,0,2333,0,318759914,1.5e+08
"117",6.4,532,21584,0,227946274,1.5e+08
"118",7.2,508,13076,0,256386216,1.5e+08
"119",6.7,13000,57844,3,206456431,1.5e+08
"120",8,663,4764,0,206435493,1.5e+08
"121",8.3,22000,59558,0,205343774,1.5e+08
"122",6.7,35,3285,0,179982968,1.5e+08
"123",5.9,189,54039,2,177243721,1.5e+08
"124",6.7,151,40054,0,179883016,1.5e+08
"126",7.6,69,2582,0,400736600,1.5e+08
"127",7.2,0,534,0,281492479,1.5e+08
"128",7.1,230,59803,3,206360018,1.7e+08
"130",6.7,2000,16948,2,133375846,1.5e+08
"131",7,0,60059,1,181015141,1.5e+08
"132",6.9,59,20007,0,114053579,1.5e+08
"133",5.1,12,2217,0,119420252,1.5e+08
"134",5.8,473,16184,0,83640426,1.5e+08
"135",6.2,13000,80849,7,79711678,1e+08
"137",5.8,394,13071,0,61937495,1.5e+08
"138",6.6,282,21175,2,124051759,1.8e+08
"139",6.2,58,6576,0,126597121,1.5e+08
"140",7.3,90,21015,0,165230261,1.5e+08
"141",4.2,0,2857,0,131564731,1.5e+08
"142",6.9,14000,34817,0,133382309,1.5e+08
"143",6.4,776,18204,2,73103784,1.5e+08
"144",5.4,25,2652,0,21379315,1.5e+08
"146",5.8,456,21393,4,34964818,1.5e+08
"147",6.9,50,5810,2,111505642,1.45e+08
"148",7.2,249,17944,2,133228348,1.75e+08
"149",6.9,35,2444,0,216366733,1.45e+08
"151",5.5,176,2097,4,118099659,1.44e+08
"152",6.6,0,26029,0,201573391,1.4e+08
"153",6.1,188,14823,2,190418803,1.4e+08
"154",6.3,0,31523,1,82161969,1.5e+08
"155",7.2,5,36095,0,143523463,1.45e+08
"156",7.4,663,21768,3,209364921,1.45e+08
"157",7.3,52,20645,0,103400692,1.45e+08
"158",6.1,23,1997,1,110332737,1e+08
"159",7.7,380,11945,1,111110575,1.4e+08
"161",8,14000,39284,0,257704099,1.5e+08
"162",7.3,0,40484,0,403706375,1.39e+08
"163",7.9,255,23378,5,176997107,1.45e+08
"164",5.5,295,19769,4,31141074,1.4e+08
"165",5,357,2705,0,31704416,1.35e+08
"166",7.7,0,2530,1,107503316,1.3e+08
"167",6.6,503,6171,2,129734803,1.4e+08
"168",5.7,0,1814,0,132122995,1.37e+08
"169",5.8,209,31958,6,122512052,1.3e+08
"171",6.4,6,15015,1,32131830,1.37e+08
"172",6.9,394,19761,0,176636816,1.4e+08
"174",7.4,608,1205,1,93926386,1.5e+08
"175",5.5,386,59177,3,292298923,1.2e+08
"177",6.8,255,5811,0,134518390,1.5e+08
"180",8.1,0,57108,0,183635922,1.35e+08
"181",6.5,13,17416,0,83024900,1.35e+08
"182",7.2,563,43291,0,123207194,1.35e+08
"183",6.7,35,19963,0,83348920,1.32e+08
"184",8.1,521,17369,0,227137090,1.1e+08
"185",7.6,54,12754,0,215395021,1.3e+08
"186",7.4,235,5730,6,180191634,1.3e+08
"187",7.6,508,49355,1,424645577,1.3e+08
"188",5.5,386,59177,3,292298923,1.2e+08
"189",6.7,12,17883,0,177343675,1.35e+08
"190",6.5,14000,12758,0,234277056,1.32e+08
"191",6.6,0,12954,1,138396624,1.3e+08
"192",6.7,50,5046,0,149234747,1.3e+08
"193",6.4,176,12406,1,118311368,1.1e+08
"194",5.8,0,32355,2,101160529,1.25e+08
"195",7.4,14000,4631,1,77564037,1.35e+08
"198",4.9,0,14168,0,60522097,1.3e+08
"199",6.5,0,2945,1,137748063,127500000
"201",6.2,189,53587,7,113733726,1.27e+08
"202",7.3,96,46120,3,148337537,1.3e+08
"204",5.6,124,31549,2,33592415,1.3e+08
"206",8.1,563,48184,3,305388685,1.4e+08
"208",6.7,508,81385,1,337103873,1.25e+08
"209",6.6,2000,16008,2,217536138,1.25e+08
"210",6.4,107,1031,0,131536019,1.03e+08
"212",7.3,681,55345,3,209805005,1.25e+08
"213",7.5,0,22403,2,186830669,1.25e+08
"214",5.8,255,18003,0,163192114,1.25e+08
"215",7.5,719,1441,0,119412921,6.5e+07
"216",6.6,323,1815,1,32694788,8.5e+07
"217",6.7,209,12175,0,113165635,1.25e+08
"218",3.7,541,2699,3,107285004,1.25e+08
"219",6,2000,4146,0,260031035,1.23e+08
"220",6.4,776,20553,0,186739919,1.25e+08
"221",6.1,610,11930,0,215397307,1.25e+08
"222",6.4,249,2684,0,182618434,1.4e+08
"223",5.6,167,15302,3,131920333,1.3e+08
"224",8,0,2121,0,124976634,1.2e+08
"225",5.2,160,14017,1,115802596,1.1e+08
"227",4.8,368,4046,0,100685880,1.2e+08
"228",7,0,24098,0,126464904,1.3e+08
"229",5.4,50,2682,0,64736114,1.2e+08
"230",6.6,662,17689,0,93050117,1.15e+08
"231",6.7,123,17159,0,57637485,1.05e+08
"232",6.2,294,14161,0,58607007,1e+08
"233",6.1,0,902,0,43929341,1.2e+08
"234",5.3,274,993,4,30212620,1.2e+08
"235",6.3,446,12731,0,76418654,1.17e+08
"236",7,364,22004,0,89021735,1.2e+08
"237",7.6,0,44042,4,380262555,1.13e+08
"238",6.7,0,42990,3,310675583,1.15e+08
"239",8.1,0,15013,0,289907418,1.15e+08
"240",6.7,446,23755,1,132550960,1.2e+08
"241",6.5,0,37723,1,474544677,1.15e+08
"242",7.3,16,43286,3,187165546,1.35e+08
"244",6,610,15046,0,40911830,1.15e+08
"245",6.1,19,46719,2,47952020,1.15e+08
"246",5.9,473,2690,0,190871240,1.25e+08
"248",5.8,79,1569,1,67155742,1.16e+08
"250",4.3,128,1261,3,56114221,1.2e+08
"251",6.4,189,55486,2,250863268,1.1e+08
"252",6.1,62,16718,0,155181732,1.1e+08
"254",7.1,776,19454,1,113330342,1.1e+08
"255",6.4,0,19359,0,125531634,1.1e+08
"256",6.5,218,22722,2,186336103,1.2e+08
"257",6.3,124,22622,0,129995817,1.1e+08
"258",7.5,17000,34582,0,102608827,1.1e+08
"259",4.9,11,1173,1,42776259,1.12e+08
"260",5.8,1000,13391,0,98780042,1.2e+08
"262",6.2,263,10583,0,106369117,1.1e+08
"263",5.5,67,692,3,142614158,1.1e+08
"264",5.4,6,13607,0,50026353,1.1e+08
"265",5.8,124,12452,3,66002193,1.1e+08
"266",7.1,189,22254,1,85463309,1.1e+08
"267",5.4,67,914,3,71017784,1.05e+08
"268",3.7,101,2027,0,48068396,1.6e+08
"269",6.7,151,12908,4,61656849,1.1e+08
"270",7.2,235,13961,1,134520804,1.1e+08
"272",5.8,153,3175,0,24004159,1.1e+08
"273",6.8,0,14196,1,58183966,1.07e+08
"274",3.8,34,2762,1,100446895,1.09e+08
"275",7.1,295,12068,1,144795350,1.2e+08
"276",7.2,0,19600,1,47396698,1.3e+08
"278",7.1,63,2480,0,104374107,1.05e+08
"279",8.1,0,14831,1,228430993,1.08e+08
"281",6.9,0,34839,1,35799026,1.26e+08
"283",6.5,57,29069,1,101643008,9e+07
"284",8.5,0,6521,0,187670866,1.03e+08
"285",7.7,14000,12546,0,132014112,1.02e+08
"288",5.7,13000,2776,0,180011740,1e+08
"289",8.5,0,2829,0,204843350,1.02e+08
"290",7,0,64599,1,97030725,1e+08
"291",7.8,0,20354,0,130127620,1e+08
"292",7.2,0,4528,0,146282411,1.15e+08
"293",6.4,12000,19906,1,65452312,1e+08
"294",5.5,80,24082,10,148383780,1e+08
"295",6.7,285,20233,2,119219978,1e+08
"296",6.1,55,3454,1,101228120,1e+08
"297",8.5,16000,40978,1,162804648,1e+08
"298",6.9,21,4842,0,100117603,1e+08
"299",7.3,10,2039,1,89296573,1e+08
"300",6.7,165,57881,3,85017401,9.2e+07
"301",6.9,226,13679,0,173005002,1e+08
"302",5.1,14,4487,0,75030163,1e+08
"304",5.8,456,21393,4,34964818,1.5e+08
"305",6.7,77,14552,2,107515297,1e+08
"306",6,207,55175,0,67631157,1e+08
"307",5.7,0,3903,0,66862068,8.3e+07
"309",8.2,17000,46057,3,116866727,1e+08
"310",5.4,541,2880,4,184031112,1e+08
"311",7.2,719,2031,0,54700065,1.05e+08
"313",7,0,4286,1,55673333,8e+07
"314",3.3,26,3144,0,40198710,1e+08
"315",6,420,16235,0,72660029,1e+08
"316",7.1,63,26940,0,38120554,1.4e+08
"317",5.4,52,10552,1,49392095,1e+08
"318",6.1,385,52610,15,39292022,9e+07
"319",5.3,19,3962,1,28772222,1.05e+08
"320",2.2,6,1195,0,17010646,8.4e+07
"321",7,2000,28328,0,24985612,1e+08
"322",3.8,31,6161,1,4411102,1e+08
"324",7.2,20,309,0,130174897,9.9e+07
"325",7.3,342,1722,0,10200000,1e+07
"326",6.3,208,15972,5,202007640,9.8e+07
"327",7.5,17000,47657,3,77679638,1e+08
"329",6.8,9,25590,0,58867694,1e+08
"330",5.2,0,13748,1,59475623,9e+07
"331",7.7,0,4270,0,108638745,9.2e+07
"332",6.2,116,9271,0,86897182,9.5e+07
"334",4.3,127,4555,4,95328937,1e+08
"335",6.9,10,3372,1,50802661,9.5e+07
"336",6.6,20,25354,0,161317423,9.5e+07
"337",7,0,4671,1,201148159,9.5e+07
"338",6.7,0,2370,1,43982842,6.5e+07
"339",8.2,475,5641,0,380838870,9.4e+07
"340",8.9,0,6434,2,377019252,9.4e+07
"341",8.7,0,23052,1,340478898,9.4e+07
"342",5.5,44,17098,4,17176900,9.5e+07
"343",5.7,165,12150,1,131144183,1.15e+08
"345",5.9,394,2574,0,181166115,9.3e+07
"346",7.6,81,13118,0,176740650,9.3e+07
"347",6.6,70,1614,0,71148699,9e+07
"348",5.3,212,15481,2,67344392,9.2e+07
"349",6,102,5780,0,22406362,1.07e+08
"350",8,663,1901,0,261437578,9.2e+07
"351",5.6,212,3611,3,11000000,9.8e+07
"353",7.3,188,12998,0,250147615,9e+07
"354",7.9,487,21275,2,245823397,9e+07
"355",6.8,12000,25780,1,81557479,1e+08
"356",6.6,420,664,2,226138454,9e+07
"357",6.6,0,12890,0,155370362,1e+08
"358",7,97,1227,1,124870275,1e+08
"359",7,107,1258,0,196573705,9e+07
"360",7.3,0,5095,1,58229120,9e+07
"361",5.5,368,15419,0,125305545,9.2e+07
"362",8.5,17000,45648,0,132373442,9e+07
"363",7.5,7,4478,0,120618403,9e+07
"364",7,0,23484,3,110416702,9.2e+07
"365",7.8,21000,20388,1,102515793,9e+07
"366",7.6,323,14274,1,100012500,9e+07
"367",7.6,0,23996,3,209019489,9e+07
"369",6.8,21,15237,0,84037039,1.2e+08
"370",5,12,38450,0,85884815,9e+07
"371",7.1,0,14165,0,83077470,7.5e+07
"372",5.5,221,13446,0,100018837,9e+07
"373",5.6,0,35367,0,78747585,8.8e+07
"374",7.1,14000,6217,0,78616689,1e+08
"375",4.9,50,2622,0,75817994,9e+07
"376",7.4,0,12289,2,100853835,9e+07
"377",5.7,719,2356,0,73209340,9.5e+07
"379",5.9,87,10882,0,68558662,9e+07
"380",5.5,101,33154,1,65653758,9.5e+07
"381",6.9,209,23031,6,64685359,9e+07
"382",6.2,176,475,0,61355436,6.8e+07
"384",5.6,0,4902,0,60874615,9e+07
"385",7,107,12071,0,143618384,9e+07
"386",6.8,0,55254,0,58220776,1e+08
"387",5.4,81,5062,0,47474112,9e+07
"388",6.1,79,26088,0,42877165,8.6e+07
"390",4.3,128,1261,3,56114221,1.2e+08
"391",6.9,468,2024,0,37567440,2e+07
"392",8,2000,2523,0,61644321,8.8e+07
"394",7.3,378,13808,0,120147445,8.7e+07
"395",6.3,101,26239,0,241688385,9.2e+07
"396",6.7,357,45327,2,144512310,3.8e+07
"397",7.7,0,15838,1,233630478,9e+07
"398",6.5,750,70996,0,197992827,1e+08
"399",7.8,521,14161,1,176049130,7.5e+07
"400",6.4,249,23603,1,172620724,8.5e+07
"401",7.8,0,13028,4,183405771,8.5e+07
"403",7.1,266,37142,2,148313048,8.5e+07
"404",7.1,36,662,2,127706877,8.5e+07
"406",6.8,79,36237,1,126149655,8.5e+07
"407",4.8,36,4182,1,66941559,8.5e+07
"408",6.2,420,3768,5,78009155,7.5e+07
"409",6.9,278,17423,3,63224849,8.5e+07
"410",7.3,12000,11951,4,111544445,9e+07
"411",6.6,278,15226,2,112703470,8.5e+07
"412",6.9,0,43499,3,117144465,8.5e+07
"413",6.2,28,6081,1,84303558,8.5e+07
"414",6.7,168,22226,2,150832203,8.5e+07
"415",7.6,218,5103,1,51396781,6.8e+07
"416",6.7,532,16930,1,47592825,8.5e+07
"417",6.2,323,2407,1,50016394,7e+07
"418",7.3,252,2380,1,57010853,8.5e+07
"419",6,681,1235,5,62494975,8.5e+07
"421",7.1,102,23950,0,44606335,9e+07
"422",5.5,99,1460,1,40048332,8.5e+07
"424",5.6,763,11454,1,64933670,8.5e+07
"425",7.5,1000,12687,0,31494270,6e+07
"426",5.4,36,1439,0,31111260,6e+07
"427",4.3,88,2818,1,123307945,6.5e+07
"428",4.9,67,6355,3,153288182,8.4e+07
"430",6.4,153,12700,1,137340146,7e+07
"432",4.3,62,3326,0,43575716,8.5e+07
"433",6.1,218,21863,0,80170146,8.5e+07
"434",7,0,3632,0,75754670,8.5e+07
"435",7.7,21000,36928,0,33048353,6.5e+07
"436",5.9,55,5839,1,34543701,8.2e+07
"437",6.7,293,21276,1,242589580,8.1e+07
"438",6.5,13000,46355,9,102981571,8e+07
"439",7.1,0,12760,0,180965237,8e+07
"440",7.3,378,49942,0,407999255,7.8e+07
"441",6.5,480,16143,0,254455986,8e+07
"442",7,13000,2899,0,162831698,8e+07
"443",6.8,12,22813,1,155019340,8e+07
"444",7.2,255,3112,0,145771527,8e+07
"446",6.1,75,22750,0,140459099,7.5e+07
"447",6.7,23,25220,7,53215979,8.4e+07
"448",6.4,88,13693,11,158115031,8.2e+07
"449",4.4,31,4073,0,133103929,7.5e+07
"450",5.4,221,39269,4,133668525,8e+07
"451",6.5,88,44798,1,130313314,8e+07
"452",6.7,278,22679,1,124590960,8e+07
"453",8.1,17000,29585,0,127968405,8e+07
"455",6.3,77,1804,1,128200012,7.5e+07
"456",7.3,610,17087,0,112225777,8e+07
"457",6.1,163,12831,0,109993847,8e+07
"458",7.7,0,16828,0,104054514,8e+07
"459",6.4,221,16325,1,103028109,8e+07
"461",6.8,165,15362,6,101087161,7.5e+07
"462",6.6,154,5637,3,101111837,8e+07
"463",7.2,333,61110,3,95632614,7.9e+07
"464",6.9,117,44797,0,94822707,8e+07
"465",5.2,10,50005,1,92969824,8e+07
"466",4.9,101,17786,0,91188905,8e+07
"467",6.3,30,15001,1,90443603,8e+07
"468",5.6,189,1267,0,82226474,6.5e+07
"469",5.5,301,22194,0,79363785,8e+07
"470",6.7,503,8355,1,76081498,7.5e+07
"471",7.6,452,20411,4,85707116,6.8e+07
"472",5.7,425,12729,2,74329966,7e+07
"473",4.6,40,4394,0,100169068,8e+07
"474",7,21,14261,0,73215310,8e+07
"475",5.2,153,5392,1,80360866,8e+07
"476",5.1,81,12186,0,69102910,8e+07
"477",6.6,438,20056,1,65948711,8e+07
"479",6.7,266,26839,0,169692572,8e+07
"481",7.3,11,814,0,60507228,8e+07
"482",5.9,25,1919,0,56684819,8e+07
"483",5.6,31,10731,0,50628009,9e+07
"484",6.5,57,25942,4,69772969,8e+07
"485",5.9,258,2864,1,45356386,7.5e+07
"486",7,25,49631,1,55350897,8.5e+07
"487",5.3,65,25190,0,39442871,8e+07
"488",5.9,0,27114,2,37899638,8.8e+07
"489",6.3,13000,22590,3,37754208,7e+07
"492",6.3,84,18132,5,38542418,8e+07
"493",7.3,79,1825,1,34566746,8e+07
"494",5.8,357,25126,0,32885565,8e+07
"495",5.2,43,1971,0,36073232,8e+07
"496",2.4,64,971,0,21471685,4.4e+07
"498",5.8,252,619,4,19673424,8e+07
"499",5.6,503,43887,0,19480739,8e+07
"500",6,0,4346,1,17593391,8e+07
"502",6,42,16922,0,27356090,9e+07
"503",5.7,14,2,1,17473245,7e+07
"509",8.2,2000,2827,0,170708996,5.8e+07
"510",8.5,28,6458,0,422783777,4.5e+07
"511",5.8,62,27842,3,103812241,7.9e+07
"512",6.5,18,848,0,119793567,7.8e+07
"514",6.7,394,36925,1,67286731,1e+08
"515",3.4,221,27405,2,74158157,7.9e+07
"516",5.9,309,25296,5,127083765,7.6e+07
"518",5.9,101,2323,2,15071514,8e+07
"519",4.1,5,28050,0,26000610,7.6e+07
"521",5.8,45,4714,3,66462600,7.8e+07
"522",7.5,275,11905,0,368049635,7.6e+07
"523",6.9,776,16785,0,306124059,7.5e+07
"524",6.5,14000,1635,0,229074524,7.3e+07
"525",6.9,35,1777,0,193136719,7.5e+07
"526",7.9,0,16479,0,35286428,7.6e+07
"527",7.4,0,21397,0,157299717,7.5e+07
"528",6.7,335,25763,0,134568845,7.5e+07
"529",7.4,0,15999,1,134006721,7.5e+07
"530",6.9,107,1815,0,195329763,8e+07
"531",6.8,88,12952,2,120776832,7.5e+07
"532",6.7,163,1673,9,118823091,7.5e+07
"533",5.1,212,1970,0,41814863,5e+07
"534",4.1,16,5320,0,97360069,7.5e+07
"535",7.3,255,13312,6,117698894,7.5e+07
"536",6,221,28497,4,162001186,8e+07
"537",7.3,14000,16199,0,77032279,6e+07
"539",5.4,87,5174,4,73023275,3.5e+07
"540",5.9,258,3424,0,68473360,7.5e+07
"541",7.1,0,60646,1,66636385,7.5e+07
"542",6,10,63165,0,160762022,7.5e+07
"543",6.5,386,2856,0,103338338,7e+07
"545",5.7,473,15889,4,55808744,5.3e+07
"547",6.6,845,16580,1,43426961,7e+07
"548",5.4,126,25206,2,47000485,7.5e+07
"549",7.3,0,15735,2,45434443,7.5e+07
"550",6.5,274,12522,2,42044321,8e+07
"551",6.6,27,17299,0,73661010,7.5e+07
"552",6.6,272,13934,2,41523271,8e+07
"553",5.9,109,1695,3,37600435,5.5e+07
"554",6.7,72,804,2,39251128,7.5e+07
"555",6.1,763,16691,1,83503161,7.5e+07
"556",6.6,17,103354,0,34636443,5.2e+07
"557",6.6,383,15857,0,22751979,7.5e+07
"558",5.3,41,14028,2,30013346,7.5e+07
"561",4.7,253,5580,0,5409517,7.5e+07
"562",6.1,212,4397,4,21009180,4.5e+07
"563",7.2,0,33645,0,94999143,7.5e+07
"564",6.4,22,13616,0,336029560,7.4e+07
"565",6.1,0,7067,4,36381716,8.2e+07
"566",5.9,0,15269,1,55585389,6.9e+07
"567",6,272,1044,3,36976367,7.5e+07
"568",6.3,6,24350,0,107225164,7.3e+07
"569",5.6,72,13827,0,70224196,7e+07
"570",6.4,0,11852,1,51814190,7.5e+07
"571",7.1,532,5187,1,47456450,7e+07
"572",6.6,285,12410,5,148213377,7.3e+07
"573",4.6,41,3287,0,112950721,7.2e+07
"574",8.4,0,1976,1,75600000,7.2e+07
"576",7.4,30,3086,0,183132370,7.5e+07
"577",6.9,0,4310,1,27796042,7.2e+07
"578",4.5,212,14780,0,32616869,7.2e+07
"580",6.5,0,7273,0,114195633,6e+07
"581",5.3,84,4166,0,144156464,71500000
"582",6.7,0,1675,0,227965690,7.2e+07
"583",7.2,80,1148,1,436471036,1.5e+08
"584",7.2,487,4905,0,244052771,1.2e+08
"585",5.5,0,12790,2,152149590,7e+07
"586",5.8,357,14790,0,141204016,7e+07
"587",6,5,5217,0,162495848,7.4e+07
"588",6.6,2000,3667,1,136448821,8e+07
"589",8.3,16000,36741,1,120523073,7.5e+07
"590",6.7,14000,64259,1,119654900,7e+07
"591",6,420,16235,0,72660029,1e+08
"592",7.1,212,16595,0,117541000,7e+07
"593",6,69,14486,1,116643346,8e+07
"595",6.9,488,11458,1,100614858,6.8e+07
"596",5.6,0,5609,1,42272747,7e+07
"597",5.6,545,3222,0,80281096,6e+07
"598",4.5,84,5227,0,219613391,7.5e+07
"599",7.1,130,6181,0,78120196,7.5e+07
"600",6.5,845,31782,3,98895417,7e+07
"601",6.4,906,6207,0,70117571,5.8e+07
"602",5.8,473,4001,0,83552429,7e+07
"603",8,13000,16138,0,66257002,7e+07
"604",6.2,0,1439,1,65012000,7e+07
"605",7.2,14000,46726,1,79883359,6.6e+07
"606",6.1,0,27674,7,78031620,7e+07
"607",7.6,0,4074,0,54222000,69500000
"608",6.3,0,1579,2,52474616,7e+07
"609",6.3,28,5178,1,55942830,7e+07
"610",6.3,380,32563,0,40932372,7e+07
"612",7,218,12226,1,37901509,7e+07
"613",5.3,2000,18510,2,48430355,7e+07
"614",5.6,541,12993,2,30157016,7e+07
"616",5.4,84,1576,1,33105600,7e+07
"617",6.4,24,5861,1,62321039,7e+07
"618",5.9,163,712,7,38509342,7.5e+07
"619",6.3,40,15916,0,19076815,6e+07
"621",3,323,2763,3,18990542,7e+07
"622",3.6,8,1846,1,14294842,7e+07
"623",5.8,13,13628,0,19819494,7e+07
"624",6.2,101,3734,0,13596911,7e+07
"625",5.6,6,6946,1,8460990,7e+07
"626",5.4,0,28129,1,7097125,7e+07
"627",6.1,14,12871,2,37760080,7e+07
"629",6.7,101,15708,1,25121291,5e+07
"630",4.2,212,1520,0,18821279,7e+07
"631",6.4,31,12556,0,118471320,6.8e+07
"632",4.9,171,52547,3,300523113,6.8e+07
"633",6.8,0,32871,0,71069884,6.8e+07
"634",7.7,275,11608,0,251501645,6.9e+07
"635",5.6,29,1132,1,35324232,6.8e+07
"636",6.4,3000,30010,0,81257500,6.8e+07
"638",6,18,3986,4,29655590,6.5e+07
"639",5.9,101,3393,3,45045037,3.6e+07
"640",7.9,0,18216,1,28965197,6.8e+07
"642",7.1,0,29824,1,39380442,7e+07
"644",5.9,335,8281,0,37516013,6.9e+07
"645",6.2,36,1302,1,87704396,6.6e+07
"647",7,38,4230,0,83892374,6.6e+07
"649",8.6,14000,44998,2,216119491,7e+07
"650",6.5,76,7081,1,43568507,6.6e+07
"651",6.4,278,5838,1,182805123,7e+07
"652",7.6,77,5437,0,176387405,5.9e+07
"653",5.5,759,12194,1,33685268,6.8e+07
"654",7.4,14000,25517,0,182204440,6.5e+07
"655",8.7,0,18563,3,171383253,6.3e+07
"656",7.6,2000,17171,0,172071312,6.2e+07
"657",7.5,719,1441,0,119412921,6.5e+07
"658",5.5,54,5265,0,139225854,6e+07
"659",7.6,0,46204,1,148775460,6.1e+07
"660",6.5,0,17768,2,115731542,6.5e+07
"661",6.9,285,11264,2,100468793,6.5e+07
"662",6.7,258,12396,0,93771072,6.5e+07
"663",6.6,480,23018,3,100448498,6.5e+07
"664",7.2,11000,2938,0,115603980,6.5e+07
"665",6.4,16000,17771,1,90454043,6.5e+07
"666",6.4,212,15229,1,84049211,7e+07
"667",6,610,2913,2,70450000,5e+07
"668",6.1,226,16452,1,69688384,6e+07
"669",6,0,14421,0,70236496,6.3e+07
"670",6.4,179,12850,1,63695760,6.5e+07
"671",6.4,119,1375,0,59617068,6.5e+07
"673",5.2,87,4796,6,85911262,6.5e+07
"674",6.6,43,11943,0,53846915,50100000
